county,fiscal_year,delivery_system,beneficiaries,yoy_growth_pct
Mono,2022/23,Total,923.0,-8.34
Monterey,2019/20,Total,41373.0,
Monterey,2020/21,Total,42312.0,2.27
Monterey,2021/22,Total,42409.0,0.23
Monterey,2022/23,Total,46614.0,9.92
Napa,2019/20,Total,9727.0,
Napa,2020/21,Total,9720.0,-0.07
Napa,2021/22,Total,10700.0,10.08
Napa,2022/23,Total,11141.0,4.12
Nevada,2019/20,Total,12173.0,
Nevada,2020/21,Total,13470.0,10.65
Nevada,2021/22,Total,13672.0,1.5
Nevada,2022/23,Total,15763.0,15.29
Orange,2019/20,Total,223645.0,
Orange,2020/21,Total,213989.0,-4.32
Orange,2021/22,Total,235876.0,10.23
Orange,2022/23,Total,269906.0,14.43
Placer,2019/20,Total,21013.0,
Placer,2020/21,Total,22431.0,6.75
Placer,2021/22,Total,22611.0,0.8
Placer,2022/23,Total,24245.0,7.23
Plumas,2019/20,Total,2555.0,
Plumas,2020/21,Total,2291.0,-10.33
Plumas,2021/22,Total,2437.0,6.37
Plumas,2022/23,Total,2243.0,-7.96
Riverside,2019/20,Total,222291.0,
Riverside,2020/21,Total,235176.0,5.8
Riverside,2021/22,Total,260824.0,10.91
Riverside,2022/23,Total,307566.0,17.92
Sacramento,2019/20,Total,159924.0,
Sacramento,2020/21,Total,165374.0,3.41
Sacramento,2021/22,Total,163466.0,-1.15
Sacramento,2022/23,Total,172900.0,5.77
San Benito,2019/20,Total,3312.0,
San Benito,2020/21,Total,3526.0,6.46
San Benito,2021/22,Total,3508.0,-0.51
San Benito,2022/23,Total,3722.0,6.1
San Bernardino,2019/20,Total,223440.0,
San Bernardino,2020/21,Total,228395.0,2.22
San Bernardino,2021/22,Total,249308.0,9.16
San Bernardino,2022/23,Total,289218.0,16.01
San Diego,2019/20,Total,322904.0,
San Diego,2020/21,Total,321494.0,-0.44
San Diego,2021/22,Total,343384.0,6.81
San Diego,2022/23,Total,386702.0,12.62
San Francisco,2019/20,Total,69799.0,
San Francisco,2020/21,Total,71446.0,2.36
San Francisco,2021/22,Total,72589.0,1.6
San Francisco,2022/23,Total,75540.0,4.07
San Joaquin,2019/20,Total,100206.0,
San Joaquin,2020/21,Total,104167.0,3.95
San Joaquin,2021/22,Total,100575.0,-3.45
San Joaquin,2022/23,Total,114433.0,13.78
San Luis Obispo,2019/20,Total,27558.0,
San Luis Obispo,2020/21,Total,31309.0,13.61
San Luis Obispo,2021/22,Total,30446.0,-2.76
San Luis Obispo,2022/23,Total,33690.0,10.65
San Mateo,2019/20,Total,46908.0,
San Mateo,2020/21,Total,45474.0,-3.06
San Mateo,2021/22,Total,48081.0,5.73
San Mateo,2022/23,Total,51861.0,7.86
Santa Barbara,2019/20,Total,39639.0,
Santa Barbara,2020/21,Total,44723.0,12.83
Santa Barbara,2021/22,Total,46481.0,3.93
Santa Barbara,2022/23,Total,52010.0,11.9
Santa Clara,2019/20,Total,83496.0,
Santa Clara,2020/21,Total,91936.0,10.11
Santa Clara,2021/22,Total,98659.0,7.31
Santa Clara,2022/23,Total,105361.0,6.79
Santa Cruz,2019/20,Total,33686.0,
Santa Cruz,2020/21,Total,33283.0,-1.2
Santa Cruz,2021/22,Total,34185.0,2.71
Santa Cruz,2022/23,Total,35255.0,3.13
Shasta,2019/20,Total,32609.0,
Shasta,2020/21,Total,32551.0,-0.18
Shasta,2021/22,Total,32709.0,0.49
Shasta,2022/23,Total,35489.0,8.5
Sierra,2019/20,Total,38.0,
Sierra,2020/21,Total,56.0,47.37
Sierra,2021/22,Total,116.0,107.14
Sierra,2022/23,Total,79.0,-31.9
Siskiyou,2019/20,Total,8225.0,
Siskiyou,2020/21,Total,8398.0,2.1
Siskiyou,2021/22,Total,8287.0,-1.32
Siskiyou,2022/23,Total,7916.0,-4.48
Small-Rural Counties,2019/20,Total,41800.0,
Small-Rural Counties,2020/21,Total,43294.0,3.57
Small-Rural Counties,2021/22,Total,43024.0,-0.62
Small-Rural Counties,2022/23,Total,44484.0,3.39
Solano,2019/20,Total,37091.0,
Solano,2020/21,Total,38904.0,4.89
Solano,2021/22,Total,39196.0,0.75
Solano,2022/23,Total,40410.0,3.1
Sonoma,2019/20,Total,44277.0,
Sonoma,2020/21,Total,43065.0,-2.74
Sonoma,2021/22,Total,45709.0,6.14
Sonoma,2022/23,Total,49096.0,7.41
Stanislaus,2019/20,Total,61542.0,
Stanislaus,2020/21,Total,60504.0,-1.69
Stanislaus,2021/22,Total,58415.0,-3.45
Stanislaus,2022/23,Total,66791.0,14.34
Sutter,2019/20,Total,9459.0,
Sutter,2020/21,Total,9787.0,3.47
Sutter,2021/22,Total,10109.0,3.29
Sutter,2022/23,Total,10726.0,6.1
Tehama,2019/20,Total,9078.0,
Tehama,2020/21,Total,8595.0,-5.32
Tehama,2021/22,Total,7943.0,-7.59
Tehama,2022/23,Total,8606.0,8.35
Trinity,2019/20,Total,1562.0,
Trinity,2020/21,Total,1782.0,14.08
Trinity,2021/22,Total,1790.0,0.45
Trinity,2022/23,Total,1931.0,7.88
Tulare,2019/20,Total,53548.0,
Tulare,2020/21,Total,53938.0,0.73
Tulare,2021/22,Total,56598.0,4.93
Tulare,2022/23,Total,62250.0,9.99
Tuolumne,2019/20,Total,6535.0,
Tuolumne,2020/21,Total,6487.0,-0.73
Tuolumne,2021/22,Total,6742.0,3.93
Tuolumne,2022/23,Total,6901.0,2.36
Ventura,2019/20,Total,64954.0,
Ventura,2020/21,Total,70095.0,7.91
Ventura,2021/22,Total,73305.0,4.58
Ventura,2022/23,Total,79895.0,8.99
Yolo,2019/20,Total,18408.0,
Yolo,2020/21,Total,18144.0,-1.43
Yolo,2021/22,Total,18910.0,4.22
Yolo,2022/23,Total,19527.0,3.26
Yuba,2019/20,Total,9801.0,
Yuba,2020/21,Total,9401.0,-4.08
Yuba,2021/22,Total,9986.0,6.22
Yuba,2022/23,Total,10867.0,8.82
