county,fiscal_year,delivery_system,beneficiaries,yoy_growth_pct
San Luis Obispo,2020/21,NSMHS,24036.0,13.61
San Luis Obispo,2020/21,SMHS,7273.0,13.61
San Luis Obispo,2021/22,NSMHS,23196.0,-2.76
San Luis Obispo,2021/22,SMHS,7250.0,-2.76
San Luis Obispo,2022/23,NSMHS,26323.0,10.65
San Luis Obispo,2022/23,SMHS,7367.0,10.65
San Mateo,2019/20,NSMHS,28826.0,
San Mateo,2019/20,SMHS,18082.0,
San Mateo,2020/21,NSMHS,28000.0,-3.06
San Mateo,2020/21,SMHS,17474.0,-3.06
San Mateo,2021/22,NSMHS,29698.0,5.73
San Mateo,2021/22,SMHS,18383.0,5.73
San Mateo,2022/23,NSMHS,32135.0,7.86
San Mateo,2022/23,SMHS,19726.0,7.86
Santa Barbara,2019/20,NSMHS,29097.0,
Santa Barbara,2019/20,SMHS,10542.0,
Santa Barbara,2020/21,NSMHS,34349.0,12.83
Santa Barbara,2020/21,SMHS,10374.0,12.83
Santa Barbara,2021/22,NSMHS,36871.0,3.93
Santa Barbara,2021/22,SMHS,9610.0,3.93
Santa Barbara,2022/23,NSMHS,42548.0,11.9
Santa Barbara,2022/23,SMHS,9462.0,11.9
Santa Clara,2019/20,NSMHS,41761.0,
Santa Clara,2019/20,SMHS,41735.0,
Santa Clara,2020/21,NSMHS,46731.0,10.11
Santa Clara,2020/21,SMHS,45205.0,10.11
Santa Clara,2021/22,NSMHS,51747.0,7.31
Santa Clara,2021/22,SMHS,46912.0,7.31
Santa Clara,2022/23,NSMHS,58249.0,6.79
Santa Clara,2022/23,SMHS,47112.0,6.79
Santa Cruz,2019/20,NSMHS,28239.0,
Santa Cruz,2019/20,SMHS,5447.0,
Santa Cruz,2020/21,NSMHS,28386.0,-1.2
Santa Cruz,2020/21,SMHS,4897.0,-1.2
Santa Cruz,2021/22,NSMHS,29262.0,2.71
Santa Cruz,2021/22,SMHS,4923.0,2.71
Santa Cruz,2022/23,NSMHS,30098.0,3.13
Santa Cruz,2022/23,SMHS,5157.0,3.13
Shasta,2019/20,NSMHS,27476.0,
Shasta,2019/20,SMHS,5133.0,
Shasta,2020/21,NSMHS,27455.0,-0.18
Shasta,2020/21,SMHS,5096.0,-0.18
Shasta,2021/22,NSMHS,27741.0,0.49
Shasta,2021/22,SMHS,4968.0,0.49
Shasta,2022/23,NSMHS,30255.0,8.5
Shasta,2022/23,SMHS,5234.0,8.5
Sierra,2019/20,NSMHS,38.0,
Sierra,2019/20,SMHS,0.0,
Sierra,2020/21,NSMHS,56.0,47.37
Sierra,2020/21,SMHS,0.0,47.37
Sierra,2021/22,NSMHS,0.0,107.14
Sierra,2021/22,SMHS,116.0,107.14
Sierra,2022/23,NSMHS,79.0,-31.9
Sierra,2022/23,SMHS,0.0,-31.9
Siskiyou,2019/20,NSMHS,5835.0,
Siskiyou,2019/20,SMHS,2390.0,
Siskiyou,2020/21,NSMHS,5785.0,2.1
Siskiyou,2020/21,SMHS,2613.0,2.1
Siskiyou,2021/22,NSMHS,5640.0,-1.32
Siskiyou,2021/22,SMHS,2647.0,-1.32
Siskiyou,2022/23,NSMHS,5574.0,-4.48
Siskiyou,2022/23,SMHS,2342.0,-4.48
Small-Rural Counties,2019/20,NSMHS,25420.0,
Small-Rural Counties,2019/20,SMHS,16380.0,
Small-Rural Counties,2020/21,NSMHS,26821.0,3.57
Small-Rural Counties,2020/21,SMHS,16473.0,3.57
Small-Rural Counties,2021/22,NSMHS,26792.0,-0.62
Small-Rural Counties,2021/22,SMHS,16232.0,-0.62
