county,fiscal_year,beneficiaries,sex
Madera,2022/23,7558.0,Male
Marin,2019/20,7694.0,Male
Marin,2020/21,8140.0,Male
Marin,2021/22,8996.0,Male
Marin,2022/23,8801.0,Male
Mariposa,2019/20,926.0,Male
Mariposa,2020/21,897.0,Male
Mariposa,2021/22,891.0,Male
Mariposa,2022/23,878.0,Male
Mendocino,2019/20,6789.0,Male
Mendocino,2020/21,6226.0,Male
Mendocino,2021/22,6482.0,Male
Mendocino,2022/23,6903.0,Male
Merced,2019/20,10143.0,Male
Merced,2020/21,10500.0,Male
Merced,2021/22,10741.0,Male
Merced,2022/23,11694.0,Male
Modoc,2019/20,617.0,Male
Modoc,2020/21,619.0,Male
Modoc,2021/22,541.0,Male
Modoc,2022/23,583.0,Male
Mono,2019/20,183.0,Male
Mono,2020/21,256.0,Male
Mono,2021/22,295.0,Male
Mono,2022/23,344.0,Male
Monterey,2019/20,14764.0,Male
Monterey,2020/21,15499.0,Male
Monterey,2021/22,15621.0,Male
Monterey,2022/23,17004.0,Male
Napa,2019/20,3885.0,Male
Napa,2020/21,3843.0,Male
Napa,2021/22,4287.0,Male
Napa,2022/23,4322.0,Male
Nevada,2019/20,4594.0,Male
Nevada,2020/21,5089.0,Male
Nevada,2021/22,5211.0,Male
Nevada,2022/23,6095.0,Male
Orange,2019/20,89596.0,Male
Orange,2020/21,86385.0,Male
Orange,2021/22,94592.0,Male
Orange,2022/23,107947.0,Male
Placer,2019/20,8304.0,Male
Placer,2020/21,8725.0,Male
Placer,2021/22,8823.0,Male
Placer,2022/23,9450.0,Male
Plumas,2019/20,923.0,Male
Plumas,2020/21,841.0,Male
Plumas,2021/22,881.0,Male
Plumas,2022/23,756.0,Male
Riverside,2019/20,84438.0,Male
Riverside,2020/21,87912.0,Male
Riverside,2021/22,93935.0,Male
Riverside,2022/23,109822.0,Male
Sacramento,2019/20,61058.0,Male
Sacramento,2020/21,63576.0,Male
Sacramento,2021/22,62010.0,Male
Sacramento,2022/23,65762.0,Male
San Benito,2019/20,1098.0,Male
San Benito,2020/21,1213.0,Male
San Benito,2021/22,1287.0,Male
San Benito,2022/23,1309.0,Male
San Bernardino,2019/20,83461.0,Male
San Bernardino,2020/21,83753.0,Male
San Bernardino,2021/22,90145.0,Male
San Bernardino,2022/23,103093.0,Male
San Diego,2019/20,133528.0,Male
San Diego,2020/21,132025.0,Male
San Diego,2021/22,137292.0,Male
San Diego,2022/23,152828.0,Male
San Francisco,2019/20,35660.0,Male
San Francisco,2020/21,36108.0,Male
San Francisco,2021/22,35633.0,Male
San Francisco,2022/23,37298.0,Male
San Joaquin,2019/20,35877.0,Male
San Joaquin,2020/21,36648.0,Male
San Joaquin,2021/22,35452.0,Male
San Joaquin,2022/23,40643.0,Male
San Luis Obispo,2019/20,10021.0,Male
San Luis Obispo,2020/21,11268.0,Male
San Luis Obispo,2021/22,10934.0,Male
San Luis Obispo,2022/23,12025.0,Male
San Mateo,2019/20,19921.0,Male
San Mateo,2020/21,19116.0,Male
San Mateo,2021/22,19990.0,Male
San Mateo,2022/23,21371.0,Male
Santa Barbara,2019/20,15301.0,Male
Santa Barbara,2020/21,16900.0,Male
Santa Barbara,2021/22,17502.0,Male
Santa Barbara,2022/23,18801.0,Male
Santa Clara,2019/20,37414.0,Male
Santa Clara,2020/21,40049.0,Male
Santa Clara,2021/22,42544.0,Male
Santa Clara,2022/23,44386.0,Male
Santa Cruz,2019/20,13590.0,Male
Santa Cruz,2020/21,13046.0,Male
Santa Cruz,2021/22,13381.0,Male
Santa Cruz,2022/23,13757.0,Male
Shasta,2019/20,12349.0,Male
Shasta,2020/21,12263.0,Male
Shasta,2021/22,12123.0,Male
Shasta,2022/23,13296.0,Male
Sierra,2019/20,0.0,Male
Sierra,2020/21,0.0,Male
Sierra,2021/22,0.0,Male
Sierra,2022/23,55.0,Male
Siskiyou,2019/20,2953.0,Male
Siskiyou,2020/21,3052.0,Male
Siskiyou,2021/22,2982.0,Male
Siskiyou,2022/23,2861.0,Male
Small-Rural Counties,2019/20,15532.0,Male
Small-Rural Counties,2020/21,15971.0,Male
Small-Rural Counties,2021/22,15550.0,Male
Small-Rural Counties,2022/23,15758.0,Male
Solano,2019/20,13956.0,Male
Solano,2020/21,14553.0,Male
Solano,2021/22,14167.0,Male
Solano,2022/23,14681.0,Male
Sonoma,2019/20,16567.0,Male
Sonoma,2020/21,16044.0,Male
Sonoma,2021/22,16720.0,Male
Sonoma,2022/23,17620.0,Male
Stanislaus,2019/20,22240.0,Male
Stanislaus,2020/21,21077.0,Male
Stanislaus,2021/22,20063.0,Male
Stanislaus,2022/23,22760.0,Male
Sutter,2019/20,3309.0,Male
Sutter,2020/21,3462.0,Male
Sutter,2021/22,3426.0,Male
Sutter,2022/23,3771.0,Male
Tehama,2019/20,3208.0,Male
Tehama,2020/21,2935.0,Male
Tehama,2021/22,2614.0,Male
Tehama,2022/23,2529.0,Male
Trinity,2019/20,627.0,Male
Trinity,2020/21,681.0,Male
Trinity,2021/22,693.0,Male
Trinity,2022/23,745.0,Male
Tulare,2019/20,18449.0,Male
Tulare,2020/21,19218.0,Male
Tulare,2021/22,20378.0,Male
Tulare,2022/23,22477.0,Male
Tuolumne,2019/20,2187.0,Male
Tuolumne,2020/21,2182.0,Male
Tuolumne,2021/22,2351.0,Male
Tuolumne,2022/23,2428.0,Male
Ventura,2019/20,24630.0,Male
Ventura,2020/21,25411.0,Male
Ventura,2021/22,26671.0,Male
Ventura,2022/23,28804.0,Male
Yolo,2019/20,6696.0,Male
Yolo,2020/21,6700.0,Male
Yolo,2021/22,6801.0,Male
Yolo,2022/23,7118.0,Male
Yuba,2019/20,3411.0,Male
Yuba,2020/21,3157.0,Male
Yuba,2021/22,3332.0,Male
Yuba,2022/23,3536.0,Male
