county,fiscal_year,delivery_system,beneficiaries,yoy_growth_pct,dominant_sex,dominant_race,dominant_age_group
Fresno,2019/20,Total,104867.0,,Female,Hispanic,21-32
Fresno,2020/21,Total,112249.0,7.04,Female,Hispanic,21-32
Fresno,2021/22,Total,109553.0,-2.4,Female,Hispanic,21-32
Fresno,2022/23,Total,112841.0,3.0,Female,Hispanic,21-32
Glenn,2019/20,Total,3612.0,,Female,White,21-32
Glenn,2020/21,Total,3716.0,2.88,Female,White,21-32
Glenn,2021/22,Total,3563.0,-4.12,Female,White,21-32
Glenn,2022/23,Total,3744.0,5.08,Female,White,21-32
Humboldt,2019/20,Total,24684.0,,Female,White,21-32
Humboldt,2020/21,Total,27740.0,12.38,Female,White,21-32
Humboldt,2021/22,Total,28161.0,1.52,Female,White,21-32
Humboldt,2022/23,Total,29098.0,3.33,Female,White,21-32
Imperial,2019/20,Total,22358.0,,Female,Hispanic,21-32
Imperial,2020/21,Total,22862.0,2.25,Female,Hispanic,21-32
Imperial,2021/22,Total,24073.0,5.3,Female,Hispanic,21-32
Imperial,2022/23,Total,25530.0,6.05,Female,Hispanic,21-32
Inyo,2019/20,Total,1780.0,,Female,White,21-32
Inyo,2020/21,Total,1937.0,8.82,Female,White,21-32
Inyo,2021/22,Total,1685.0,-13.01,Female,White,21-32
Inyo,2022/23,Total,1811.0,7.48,Female,White,21-32
Kern,2019/20,Total,102218.0,,Female,Hispanic,21-32
Kern,2020/21,Total,109745.0,7.36,Female,Hispanic,21-32
Kern,2021/22,Total,119425.0,8.82,Female,Hispanic,21-32
Kern,2022/23,Total,133737.0,11.98,Female,Hispanic,21-32
Kings,2019/20,Total,16153.0,,Female,Hispanic,21-32
Kings,2020/21,Total,15576.0,-3.57,Female,Hispanic,21-32
Kings,2021/22,Total,15303.0,-1.75,Female,Hispanic,21-32
Kings,2022/23,Total,15890.0,3.84,Female,Hispanic,21-32
Lake,2019/20,Total,12275.0,,Female,White,21-32
Lake,2020/21,Total,12783.0,4.14,Female,White,21-32
Lake,2021/22,Total,13585.0,6.27,Female,White,21-32
Lake,2022/23,Total,14214.0,4.63,Female,White,21-32
Lassen,2019/20,Total,3482.0,,Female,White,21-32
Lassen,2020/21,Total,3793.0,8.93,Female,White,21-32
Lassen,2021/22,Total,3430.0,-9.57,Female,White,21-32
Lassen,2022/23,Total,3668.0,6.94,Female,White,21-32
Los Angeles,2019/20,Total,869774.0,,Female,Hispanic,21-32
Los Angeles,2020/21,Total,887901.0,2.08,Female,Hispanic,21-32
